"Ap"||"A"|||0|0|0|12|28|33||28||0|0|0|0|0|0|100|100|100|100|100|100|94|100|100|86|95|100|1|8|15|0|0.1|0.4|0|0.1|2.9|0|0.4|6.7|0.1|2.7|6.6|1.7|4.7|10|48|59|69||30|||29||30|33|39|0|0|0|2|3|4||||1.2|1.3|1.45||||1.4|1.5|1.56|2.65|1.41|2.7|4.23|0.19|0.21|0.21||||31.7|33.2|35.5|17.9|20.5|24.7|41|47|50|3|5|6|44|49|57|21|23|28|19|25|33|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0.1|2|24.6|27.2|32||||24|27|32|5.6|6.5|7.3|5.6|6.3|7.3|||||||3.4|6.2|9.6|||||||||||||||||||||"21905233"|"64605672"
"Bt1"||"B"||1|36|40|48|61|72|84||32||0|0|0|0|0|0|100|100|100|100|100|100|95|100|100|89|96|100|2|7|12|0|0|0.1|0|0.1|0.2|0|0.1|0.2|0.4|0.8|1.2|3|6|9|40|51|63||33|||18||35|42|50|0|0|0|1|1|1.5||||1.35|1.4|1.45||||1.71|1.76|1.81|2.65|0.42|0.91|1.41|0.14|0.16|0.19||||29.5|31.7|34.1|20.1|23.8|28.7|43|45|47|6|8|9|47|54|63|25|30|36|23|32|42|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0.2|2|26.8|31.4|37||||24.3|28.3|45|5.6|6.5|7.8|5.6|6.2|7.3|||||||1.9|6|9.3|||||||||||||||||||||"21905234"|"64605677"
"Bt2"||"B"||2|61|72|84|76|95|110||23||0|0|0|0|0|0|100|100|100|100|100|100|96|100|100|90|96|100|2|7|12|0|0|0.1|0|0.1|0.2|0|0.1|0.2|0.4|0.8|1.2|3|6|9|42|54|63||35|||19||35|39|50|0|0|0|0.4|0.6|0.8||||1.35|1.4|1.45||||1.67|1.72|1.81|2.65|0.42|0.91|1.41|0.14|0.16|0.19||||33|34.4|37.5|20.1|22.5|28.9|43|45|47|6|7.2|9|46|51|61|25|28|36|23|30|41|".37"|".37"|0|0|1|0|0|0|0|0|0|0|0.2|2|26|29|36.2||||24.4|27.4|75.2|5.6|6.7|7.8|5.6|6.4|7.8|||||||1.6|5|8.9|||||||||||||||||||||"21905234"|"64605678"
"Ap"||"A"|||0|0|0|10|18|20||18||0|0|0|0|0|0|100|100|100|100|100|100|96|100|100|87|94|100|4|12|20|0|0.1|0.2|0.1|0.2|0.3|0.2|0.3|0.4|0.6|1.2|1.8|5|10.2|16|54|64|75||42|||22||20|24|26|0|0|0|2|3|4||||1.3|1.38|1.46||||1.45|1.53|1.64|2.65|4.23|9|14.11|0.21|0.22|0.23||||28.7|31.1|32.5|13.6|17|19.3|43|46|48|3|3.6|6|35|41|46|13|16|18|11|16|21|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0.2|2|17|20.1|21.7||||14.2|18.1|21.4|5.6|6|7.3|5.6|5.7|7.3|||||||2.5|6.8|8.4|||||||||||||||||||||"21905234"|"64605674"
"A"||"A"|||10|18|20|25|30|36||12||0|0|0|0|0|0|100|100|100|100|100|100|95|100|100|87|94|100|4|12|20|0|0.1|0.2|0.1|0.2|0.3|0.2|0.3|0.4|0.6|1.2|1.8|5|10.2|16|46|58|69||38|||20||27|30|34|0|0|0|1|2|3||||1.3|1.38|1.46||||1.49|1.57|1.64|2.65|1.41|2.7|4.23|0.2|0.21|0.22||||30.5|32.3|34.2|16.1|19|22.3|43|46|48|3|4.5|6|39|44|51|19|21|24|16|21|28|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0.2|2|21.5|24|27.1||||18.1|21.6|26.8|5.6|6|7.3|5.6|5.7|7.3|||||||2.7|6.9|8.7|||||||||||||||||||||"21905234"|"64605675"
"BA"||"BA"|||25|30|36|36|40|48||10||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|90|95|100|3|9|15|0|0|0.1|0|0.1|0.2|0.1|0.2|0.3|0.4|0.8|1.2|4|7.9|12|49|58|67||38|||20||30|33|36|0|0|0|1|1.5|2||||1.35|1.4|1.45||||1.57|1.62|1.67|2.65|1.41|2.7|4.23|0.19|0.21|0.22||||31.7|33.1|34.4|18|20.3|22.6|43|45|47|3|5|6|41|46|50|21|23|26|19|24|29|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0.2|2|23.5|25.8|28.1||||21.3|23.7|27.8|5.6|6.3|7.3|5.6|6|7.3|||||||2.9|6.1|8.4|||||||||||||||||||||"21905234"|"64605676"
"BC"||"BC"|||76|95|110|125|135|146||40||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|90|95|100|4|10|10|0|0.1|0.2|0|0.1|0.2|0.1|0.2|0.3|0.4|0.8|1.2|5|8.8|14|48|54|62||35|||19||32|36|42|0|0|0|0.2|0.3|0.5||||1.35|1.42|1.48||||1.64|1.71|1.84|2.65|1.41|2.7|4.23|0.16|0.19|0.21||||32|33.4|35.3|18.4|20.8|24.4|42|44|47|6|6.4|9|43|47|54|23|26|31|21|26|35|".43"|".43"|0|0|2|0|0|0|0|0|0|0|0.2|2|23.5|26.4|30.7||||20.4|25.6|69.7|6.6|7|7.8|6.6|6.7|7.8|||||||1.3|3.8|5.5|||||||||||||||||||||"21905234"|"64605679"
"C"||"C"|||125|135|146|200|200|200||65||0|0|0|0|0|0|100|100|100|100|100|100|96|100|100|88|94|100|4|12|20|0|0.1|0.2|0|0.1|0.2|0.1|0.2|0.3|0.4|0.8|1.2|5|10.8|16|46|56|66||36|||20||30|32|35|0|0|0|0.1|0.2|0.3||||1.35|1.42|1.48||||1.57|1.64|1.69|2.65|1.41|2.7|4.23|0.19|0.2|0.21||||31.2|32|33.1|17.2|18.4|20.2|42|44|47|3|5|6|39|42|46|21|23|25|18|22|27|".43"|".43"|0|0|2|0|0|0|0|0|0|0|0.2|2|21.8|23.5|25.8||||19.9|21.5|64.8|6.6|7.2|7.8|6.6|6.9|7.8|||||||1|2.9|4.8|||||||||||||||||||||"21905234"|"64605680"
"Bt"||"B"|||25|30|35|94|116|138||86||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|94|98|100|2|4|6|0|0|0.1|0|0.1|0.2|0|0.1|0.2|0.1|0.2|0.5|1.6|3.6|5.6|46|52|58||29|||23||40|44|48|0|0|0|0.5|1|1.5||||1.35|1.4|1.45||||1.78|1.84|1.9|2.65|0.01|0.22|0.42|0.12|0.14|0.16||||30.8|32.2|33.6|22.2|24.9|27.6|43|45|47|9|10|12|52|57|63|29|32|35|30|36|41|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0.1|2|25|28|31||||22.2|27.4|31|6.1|7|7.8|6.1|6.4|6.5|||||||1.5|4.2|7.2|||||||||||||||||||||"21905235"|"64605682"
"BC"||"BC"|||94|116|138|112|132|152||16||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|92|97|100|4|6|8|0|0|0.1|0|0.1|0.2|0|0.2|0.3|0.1|0.3|0.5|3.4|5.4|7.4|49|56|63||32|||24||33|38|43|0|0|0|0.3|0.5|0.8||||1.34|1.38|1.42||||1.59|1.64|1.7|2.65|1.41|2.7|4.23|0.16|0.17|0.18||||32.1|33.8|35.4|18.6|21.6|24.7|44|46|47|6|7|9|44|49|55|24|27|31|23|29|35|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0.3|2|24|26|28||||22.8|25.8|28|6.6|7.3|7.8|6.1|6.6|7.3|||||||1.3|3|5.3|||||||||||||||||||||"21905235"|"64605683"
