"t"|"64606424"|"26741757"
"p"|"64605883"|"26741843"
"t"|"64605721"|"26741665"
"p"|"64605809"|"26741808"
"t"|"64605669"|"26741555"
"k"|"64605669"|"26741556"
"p"|"64605798"|"26741804"
"t"|"64605927"|"26741866"
"t"|"64605716"|"26741675"
"t"|"64605795"|"26741806"
"t"|"64605732"|"26741663"
"p"|"64605864"|"26741848"
"t"|"64605717"|"26741676"
"t"|"64606423"|"26741756"
"p"|"64605920"|"26741871"
"p"|"64605868"|"26741840"
"t"|"64605665"|"26741552"
"t"|"64605673"|"26741557"
"t"|"64605879"|"26741839"
"p"|"64605691"|"26741548"
"t"|"64605931"|"26741874"
"t"|"64605687"|"26741560"
"t"|"64605688"|"26741561"
"t"|"64605677"|"26741545"
"t"|"64605738"|"26741673"
"p"|"64605740"|"26741669"
"g"|"64605867"|"26741844"
"ss"|"64605867"|"26741845"
"t"|"64605727"|"26741668"
"t"|"64605666"|"26741553"
"t"|"64605886"|"26741841"
"t"|"64606428"|"26741753"
"t"|"64605875"|"26741835"
"p"|"64605793"|"26741805"
"p"|"64606426"|"26741755"
"t"|"64605876"|"26741836"
"g"|"64605866"|"26741846"
"ss"|"64605866"|"26741847"
"t"|"64605802"|"26741809"
"p"|"64605685"|"26741559"
"p"|"64605663"|"26741551"
"p"|"64605674"|"26741544"
"t"|"64605796"|"26741807"
"p"|"64605929"|"26741875"
"p"|"64605730"|"26741662"
"p"|"64606418"|"26741752"
"t"|"64605885"|"26741842"
"t"|"64605726"|"26741667"
"g"|"64605922"|"26741869"
"ss"|"64605922"|"26741870"
"p"|"64605877"|"26741837"
"t"|"64605737"|"26741670"
"k"|"64605737"|"26741671"
"t"|"64605693"|"26741549"
"t"|"64605926"|"26741865"
"t"|"64605678"|"26741546"
"t"|"64605733"|"26741664"
"p"|"64605873"|"26741834"
"t"|"64605736"|"26741672"
"p"|"64605672"|"26741554"
"t"|"64605880"|"26741838"
"p"|"64606422"|"26741754"
"t"|"64605932"|"26741873"
"t"|"64605682"|"26741547"
"p"|"64605724"|"26741666"
"p"|"64605935"|"26741872"
"g"|"64605923"|"26741867"
"ss"|"64605923"|"26741868"
"p"|"64605714"|"26741674"
"p"|"64605924"|"26741864"
"t"|"64605694"|"26741550"
"t"|"64605670"|"26741558"
