"Timestamp","Station","AirTemperature","AirTemperature","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m","SoilTemperature5cm","SoilTemperature5cm","SoilTemperature10cm","SoilTemperature10cm","SolarRadiation","ETo","ETo"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","°C","°C","%","mm","m/s","m/s","°C","°C","°C","°C","MJ/m²","mm","mm"
"2020-01-01","Manhattan",11.9,-5.1,61.5,0,3.0,12.4,4.1,0.7,3.6,1.6,10.7,1.69,2.78
"2020-01-02","Manhattan",12.6,0.9,71.8,0,2.5,7.3,6.3,2.8,5.5,3.3,8.2,1.42,2.26
"2020-01-03","Manhattan",8.3,-2.5,67.5,0,3.5,11.2,5.3,2.2,4.9,3.2,10.9,1.53,2.48
"2020-01-04","Manhattan",8.1,-5.0,50.7,0,3.0,7.8,4.2,1.2,4.0,2.2,10.8,1.72,2.83
"2020-01-05","Manhattan",11.0,-4.2,53.2,0,3.5,12.8,5.2,2.0,4.7,2.9,11.2,2.01,3.32
"2020-01-06","Manhattan",9.3,-5.0,64.1,0,2.1,8.3,4.6,1.3,4.2,2.2,8.3,1.30,2.07
"2020-01-07","Manhattan",13.1,-3.9,55.4,0,1.9,9.4,4.6,1.0,4.1,2.0,10.9,1.64,2.72
"2020-01-08","Manhattan",15.0,-3.1,51.1,0,3.9,11.8,4.6,1.1,4.2,2.0,9.7,2.85,4.72
"2020-01-09","Manhattan",13.0,1.7,52.2,0,4.1,14.8,7.0,4.1,6.2,4.2,9.0,2.37,3.88
"2020-01-10","Manhattan",2.9,-8.1,83.3,8.13,2.9,8.8,4.3,1.4,4.9,2.5,0.8,0.64,0.94
"2020-01-11","Manhattan",-3.6,-11.9,79.5,0,1.5,4.2,1.4,0.3,2.5,1.2,12.7,0.42,0.57
"2020-01-12","Manhattan",-1.2,-9.9,97.5,0,1.1,4.2,0.3,0,1.2,0.8,1.5,0.33,0.39
"2020-01-13","Manhattan",4.1,-3.1,99.8,0.51,1.1,5.3,0.2,0.1,0.8,0.7,3.2,0.36,0.38
"2020-01-14","Manhattan",7.6,0,93.3,0,1.4,5.6,3.7,0.2,2.9,0.8,8.6,0.69,0.93
"2020-01-15","Manhattan",6.0,-10.1,86.0,0,3.9,10.6,4.0,1.1,3.8,2.2,5.4,1.04,1.61
"2020-01-16","Manhattan",-4.2,-13.1,60.7,0,2.9,8.0,1.1,0,2.2,0.8,8.1,0.79,1.22
"2020-01-17","Manhattan",3.3,-4.9,93.9,1.02,2.6,10.2,0.2,0,0.8,0.7,1.1,0.73,1.07
"2020-01-18","Manhattan",3.6,-6.3,66.0,0.25,4.4,15.5,0.3,0.2,0.8,0.7,12.2,1.27,2.00
"2020-01-19","Manhattan",-3.1,-11.5,59.2,0,3.0,8.2,0.3,-0.4,0.8,0.4,11.8,0.85,1.31
"2020-01-20","Manhattan",-5.0,-13.4,62.8,0,1.9,6.1,-0.2,-1.4,0.5,0.1,11.9,0.63,0.93
"2020-01-21","Manhattan",2.9,-14.6,67.8,0,2.8,8.1,-0.3,-2.2,0.1,-0.2,9.8,1.02,1.59
"2020-01-22","Manhattan",3.0,0.2,96.8,5.08,3.7,9.1,-0.1,-0.3,0.1,-0.1,1.7,0.84,1.24
"2020-01-23","Manhattan",2.5,-1.9,99.4,M,3.6,9.8,-0.1,-0.1,0.2,0,1.5,0.34,0.40
"2020-01-24","Manhattan",0,-4.8,88.6,0.51,3.7,9.0,-0.1,-0.1,0.3,0.2,3.3,0.49,0.67
"2020-01-25","Manhattan",2.6,-6.5,95.2,0,0.9,3.6,-0.1,-0.1,0.4,0.3,6.9,0.49,0.59
"2020-01-26","Manhattan",12.8,-2.8,81.6,0,0.9,4.6,0,-0.1,0.5,0.3,10.8,1.00,1.37
"2020-01-27","Manhattan",3.3,-2.7,85.1,0.25,2.4,6.4,0.2,0,0.6,0.5,5.8,0.68,0.92
"2020-01-28","Manhattan",0.5,-1.7,86.9,0,2.4,5.3,0.6,0.2,0.8,0.6,1.6,0.46,0.60
"2020-01-29","Manhattan",2.7,-2.4,86.7,1.27,0.9,3.1,2.7,0.4,2.2,0.7,5.7,0.56,0.67
"2020-01-30","Manhattan",3.9,0.1,81.2,0,1.9,6.5,2.9,1.4,2.7,1.8,3.2,0.69,0.92
"2020-01-31","Manhattan",7.3,-3.8,80.2,0,2.4,8.4,4.5,1.0,3.6,1.5,9.6,1.23,1.83
"2020-02-01","Manhattan",14.0,-4.6,69.0,0,2.2,9.0,5.0,0.7,4.0,1.4,13.0,1.88,2.89
"2020-02-02","Manhattan",20.7,2.5,52.0,0,1.7,6.7,8.5,2.3,6.7,2.9,13.9,2.41,3.77
"2020-02-03","Manhattan",7.5,-0.5,78.8,0,3.9,10.1,5.0,2.3,5.3,3.1,2.3,1.11,1.67
"2020-02-04","Manhattan",-0.3,-3.4,55.4,0,5.5,11.9,2.3,0.8,3.1,1.6,3.2,1.55,2.46
"2020-02-05","Manhattan",-1.7,-6.3,68.7,0,2.9,6.7,0.8,0.5,1.6,1.1,2.9,0.82,1.22
"2020-02-06","Manhattan",5.5,-10.1,71.1,0,1.1,6.4,0.5,0.1,1.1,0.8,14.3,1.06,1.48
"2020-02-07","Manhattan",3.4,-4.8,67.1,0,2.8,8.7,1.6,0.4,1.5,0.9,10.0,1.19,1.75
"2020-02-08","Manhattan",8.3,-9.3,65.2,0,2.3,8.9,2.1,0.2,1.8,0.8,14.7,1.53,2.28
"2020-02-09","Manhattan",6.6,-2.1,65.4,0,3.7,11.0,3.9,1.0,3.2,1.5,10.0,1.50,2.24
"2020-02-10","Manhattan",6.4,-6.2,61.8,0,1.1,4.7,4.2,0.6,3.4,1.3,12.5,1.11,1.52
"2020-02-11","Manhattan",7.1,-1.9,53.8,0,1.6,5.3,4.8,1.1,3.9,1.8,11.8,1.46,2.11
"2020-02-12","Manhattan",2.2,-11.2,81.6,7.37,2.8,15.2,2.1,1.4,2.8,2.0,3.1,0.91,1.37
"2020-02-13","Manhattan",-9.1,-16.1,57.1,0,3.5,11.6,1.4,0.3,2.0,0.9,16.0,0.78,1.12
"2020-02-14","Manhattan",-0.9,-16.7,59.0,0,2.7,9.0,0.3,0,0.9,0.6,10.1,1.04,1.55
"2020-02-15","Manhattan",11.2,-3.5,64.6,0.25,1.7,10.6,1.2,0,1.0,0.5,14.5,1.71,2.45
"2020-02-16","Manhattan",11.8,-5.1,75.8,0,1.0,5.2,4.6,0.3,3.3,0.7,13.7,1.29,1.64
"2020-02-17","Manhattan",15.8,0.6,71.2,0,3.0,10.8,7.4,2.6,5.8,2.7,9.8,2.42,3.68
"2020-02-18","Manhattan",6.6,-3.9,60.1,0,2.9,8.6,6.1,1.9,5.0,2.7,15.7,1.82,2.68
"2020-02-19","Manhattan",5.5,-6.4,71.0,0,2.2,9.1,3.7,1.0,3.3,1.8,7.7,1.36,2.00
"2020-02-20","Manhattan",0.1,-9.9,59.0,0,3.0,8.0,2.8,0.6,2.5,1.4,17.3,1.38,2.00
"2020-02-21","Manhattan",8.2,-9.5,59.0,0,3.0,10.1,2.0,0.2,1.8,0.9,17.4,1.95,2.88
"2020-02-22","Manhattan",13.8,0.5,53.5,0,3.3,10.1,4.8,0.6,3.8,1.1,11.9,2.54,3.85
"2020-02-23","Manhattan",14.2,3.2,64.6,0,1.4,4.5,6.2,2.8,5.4,3.1,6.5,1.49,2.06
"2020-02-24","Manhattan",9.0,1.8,77.4,11.43,3.3,8.2,6.3,4.3,5.7,4.6,5.7,1.48,2.17
"2020-02-25","Manhattan",5.2,-1.2,65.7,0,4.8,12.7,4.3,2.5,4.9,3.3,5.5,1.69,2.60
"2020-02-26","Manhattan",4.0,-3.6,53.3,0,4.6,11.5,4.5,1.2,3.9,2.1,18.3,2.19,3.27
"2020-02-27","Manhattan",9.5,-4.2,71.0,0.76,2.8,9.7,4.5,0.8,3.7,1.6,11.2,1.88,2.75
"2020-02-28","Manhattan",14.6,-1.9,65.2,0.25,2.4,8.7,7.1,1.2,5.5,1.9,17.9,2.59,3.74
"2020-02-29","Manhattan",20.8,-4.2,48.9,0,3.4,13.4,7.5,1.6,6.2,2.5,18.1,4.17,6.46
