"Timestamp","Station","AirTemperature","AirTemperature.1","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m.1","SoilTemperature5cm","SoilTemperature5cm.1","SoilTemperature10cm","SoilTemperature10cm.1","SolarRadiation","ETo","ETo.1"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","°C","°C","%","mm","m/s","m/s","°C","°C","°C","°C","MJ/m²","mm","mm"
"2018-01-01","Manhattan",-9.1,-22.4,57.7,0,1.4,5.6,-1.0,-3.3,-0.8,-1.7,9.3,0.43,0.66
"2018-01-02","Manhattan",-3.7,-19.6,52.4,0,2.2,8.1,-1.1,-3.3,-0.9,-1.9,9.5,0.75,1.19
"2018-01-03","Manhattan",-2.0,-12.8,62.6,0,3.7,12.3,-0.6,-2.2,-0.6,-1.3,9.7,0.85,1.35
"2018-01-04","Manhattan",3.5,-15.0,68.6,0,0.8,5.6,-0.2,-2.8,-0.5,-1.7,9.3,0.59,0.88
"2018-01-05","Manhattan",-0.5,-12.1,64.8,0,2.1,6.3,-0.3,-2.2,-0.5,-1.3,8.8,0.83,1.30
"2018-01-06","Manhattan",0.8,-12.6,62.0,0,1.8,6.1,-0.5,-2.4,-0.5,-1.4,7.8,0.80,1.24
"2018-01-07","Manhattan",8.8,0.6,61.6,0,2.2,7.2,0.8,-1.0,0.1,-0.6,2.9,1.17,1.78
"2018-01-08","Manhattan",13.4,-4.3,66.9,0,1.2,4.3,2.6,-1.1,1.6,-0.3,9.6,1.17,1.86
"2018-01-09","Manhattan",14.5,-0.2,62.4,0,2.5,8.8,3.3,0.1,2.6,0.5,5.3,1.91,3.06
"2018-01-10","Manhattan",14.2,3.3,72.1,0,4.2,10.8,4.9,2.0,4.4,2.1,5.3,1.91,3.03
"2018-01-11","Manhattan",9.9,-12.2,79.0,6.10,6.6,14.4,4.8,-1.1,4.4,0.5,7.6,1.43,2.26
"2018-01-12","Manhattan",-9.4,-15.3,63.8,0,3.9,8.5,-1.0,-2.2,0.5,-0.6,7.9,0.61,0.94
"2018-01-13","Manhattan",-5.8,-11.0,62.0,0,2.2,7.4,-0.7,-2.1,-0.4,-0.9,5.4,0.61,0.92
"2018-01-14","Manhattan",3.0,-7.7,79.0,4.83,2.5,9.3,-0.3,-1.6,-0.2,-0.8,8.6,0.84,1.27
"2018-01-15","Manhattan",2.0,-16.7,71.6,0.25,6.2,11.7,-0.2,-3.0,-0.1,-1.2,8.2,1.00,1.57
"2018-01-16","Manhattan",-10.7,-19.0,74.3,0,2.4,7.0,-2.1,-4.0,-1.2,-2.4,10.2,0.38,0.54
"2018-01-17","Manhattan",-1.5,-16.8,70.0,0,2.5,7.2,-2.1,-4.8,-1.7,-3.1,11.0,0.79,1.22
"2018-01-18","Manhattan",7.4,-6.8,51.7,0,3.3,8.3,-0.7,-3.4,-0.8,-2.4,10.3,1.65,2.64
"2018-01-19","Manhattan",12.7,0.2,47.2,0,3.4,9.1,0.3,-1.1,-0.3,-0.8,8.7,2.45,3.99
"2018-01-20","Manhattan",13.1,3.8,78.9,0,2.0,7.9,1.8,-0.3,0.5,-0.3,3.9,1.24,1.83
"2018-01-21","Manhattan",16.1,2.0,85.1,0,2.1,8.7,3.7,-0.2,2.3,-0.1,5.9,1.30,1.92
"2018-01-22","Manhattan",4.0,-2.8,91.2,2.54,5.3,15.6,1.9,0.7,1.7,1.1,1.8,0.63,0.92
"2018-01-23","Manhattan",4.8,-3.9,80.4,0.51,2.5,9.0,2.6,0.3,2.0,0.8,9.9,0.99,1.46
"2018-01-24","Manhattan",11.5,-4.6,64.4,0,2.2,8.4,2.7,-0.1,2.1,0.5,11.5,1.65,2.59
"2018-01-25","Manhattan",19.1,1.8,31.6,0,4.6,12.8,4.7,0.7,3.7,1.1,11.7,4.42,7.33
"2018-01-26","Manhattan",16.8,2.5,46.7,0,5.8,17.5,5.9,3.3,5.1,3.3,8.2,4.02,6.57
"2018-01-27","Manhattan",14.0,-2.4,55.6,0,1.8,7.1,5.8,2.0,4.9,2.8,12.1,1.89,3.00
"2018-01-28","Manhattan",2.7,-7.5,76.4,0,2.6,9.0,3.1,0.9,3.6,1.9,5.6,0.88,1.30
"2018-01-29","Manhattan",2.5,-9.9,68.4,0,1.8,7.3,3.3,0.1,2.8,1.1,11.3,0.99,1.47
"2018-01-30","Manhattan",12.6,-6.7,42.2,0,4.3,12.6,3.4,0.3,3.0,1.0,9.8,2.77,4.48
"2018-01-31","Manhattan",11.4,0.2,54.6,0,2.6,10.3,5.1,2.0,4.3,2.5,8.0,1.99,3.12
"2018-02-01","Manhattan",5.5,-10.5,48.8,0,4.5,13.6,3.6,0.6,3.8,1.8,10.7,1.97,3.13
"2018-02-02","Manhattan",5.2,-11.2,47.1,0,2.6,9.1,2.3,-0.3,2.2,0.8,12.4,1.60,2.51
"2018-02-03","Manhattan",12.1,1.2,40.4,0,3.9,11.6,4.5,1.0,3.8,1.5,11.7,2.54,4.03
"2018-02-04","Manhattan",2.7,-17.0,74.3,0,5.1,12.2,2.7,-0.3,3.1,0.8,7.8,1.16,1.80
"2018-02-05","Manhattan",-2.6,-18.1,71.5,1.02,3.3,8.9,0.2,-0.6,0.8,0.3,6.5,0.79,1.20
"2018-02-06","Manhattan",-8.6,-12.0,75.4,0,2.7,6.8,-0.1,-0.7,0.4,0.1,4.1,0.46,0.66
"2018-02-07","Manhattan",1.1,-14.5,73.1,0,1.2,6.3,1.0,-1.2,0.7,-0.2,13.0,0.86,1.19
"2018-02-08","Manhattan",12.9,-9.5,54.8,0,2.0,10.5,2.1,-1.0,1.5,-0.1,11.7,1.91,2.94
"2018-02-09","Manhattan",10.5,-9.7,69.6,0,5.6,10.3,1.2,-0.7,1.2,0.1,5.0,2.41,3.85
"2018-02-10","Manhattan",-5.6,-12.4,69.0,0,4.9,10.6,-0.2,-1.2,0.1,-0.2,7.9,0.81,1.21
"2018-02-11","Manhattan",2.1,-12.0,67.1,0,2.0,7.1,1.1,-1.2,0.7,-0.3,14.2,1.19,1.72
"2018-02-12","Manhattan",3.9,-11.7,58.1,0,2.1,6.7,0.5,-1.4,0.2,-0.4,12.7,1.36,2.03
"2018-02-13","Manhattan",13.2,-3.7,56.7,0,2.8,10.1,3.3,-0.5,2.3,0.1,13.8,2.35,3.60
"2018-02-14","Manhattan",17.8,3.7,66.8,0,2.5,8.8,5.4,0.9,4.1,1.2,10.3,2.32,3.46
"2018-02-15","Manhattan",18.1,0.6,57.3,0,4.0,13.3,6.7,4.0,5.7,3.7,6.4,3.14,4.99
"2018-02-16","Manhattan",4.1,-7.3,47.8,0,3.6,12.5,6.0,2.0,5.0,2.9,14.1,1.86,2.84
"2018-02-17","Manhattan",13.6,-3.6,44.0,0,2.3,10.3,6.2,2.0,5.2,2.7,15.3,2.54,3.90
"2018-02-18","Manhattan",14.7,-3.0,55.2,0,5.9,15.2,6.6,2.4,5.7,3.1,11.9,3.35,5.29
"2018-02-19","Manhattan",16.5,-4.1,85.4,0,4.2,14.7,7.3,3.7,6.5,4.2,2.9,1.40,2.11
"2018-02-20","Manhattan",-2.8,-8.5,83.3,0,4.9,9.7,3.7,1.1,4.2,2.3,7.8,0.69,0.97
"2018-02-21","Manhattan",-2.1,-11.1,71.9,2.79,3.8,7.5,2.1,-0.2,2.3,1.0,9.6,0.89,1.27
"2018-02-22","Manhattan",0.2,-3.3,95.2,0,1.5,5.0,1.5,1.1,1.8,1.5,2.9,0.42,0.46
"2018-02-23","Manhattan",2.5,-1.3,85.9,9.14,1.8,5.5,3.2,1.5,2.9,1.8,7.6,0.76,0.91
"2018-02-24","Manhattan",1.6,-0.9,91.9,1.52,2.5,7.6,3.0,1.8,3.0,2.3,2.9,0.71,0.96
"2018-02-25","Manhattan",11.7,-6.4,59.9,0,1.6,5.6,4.8,0.6,3.9,1.4,14.6,1.95,2.79
"2018-02-26","Manhattan",17.4,-4.3,50.9,0,2.1,10.0,5.6,0.9,4.6,1.7,16.9,3.05,4.61
"2018-02-27","Manhattan",22.0,0.3,63.8,0,4.4,12.4,8.1,2.4,6.8,3.0,16.0,4.25,6.57
