"Timestamp","Station","AirTemperature","AirTemperature","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m","SoilTemperature5cm","SoilTemperature5cm","SoilTemperature10cm","SoilTemperature10cm","SolarRadiation","ETo","ETo"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","°C","°C","%","mm","m/s","m/s","°C","°C","°C","°C","MJ/m²","mm","mm"
"2021-01-01","Manhattan",2.4,-2.9,67.0,0,2.7,7.4,2.4,1.2,2.6,2.0,3.5,1.04,1.61
"2021-01-02","Manhattan",6.8,-4.8,78.6,0,0.7,3.1,3.4,0.9,3.1,1.7,7.1,0.57,0.78
"2021-01-03","Manhattan",11.0,-6.9,79.6,0,1.4,6.4,3.7,0.6,3.3,1.5,10.7,0.93,1.44
"2021-01-04","Manhattan",11.0,-4.0,70.3,0,2.3,11.7,4.5,1.4,3.9,2.1,10.8,1.36,2.19
"2021-01-05","Manhattan",12.5,-6.0,68.4,0,2.0,10.1,3.9,1.0,3.6,1.9,8.6,1.45,2.33
"2021-01-06","Manhattan",7.7,-0.2,73.6,0,1.3,5.4,4.3,2.5,4.2,3.1,3.3,0.83,1.18
"2021-01-07","Manhattan",5.1,-3.8,89.7,0.76,2.1,5.6,5.1,3.1,4.9,4.0,5.9,0.74,1.09
"2021-01-08","Manhattan",3.8,-6.0,83.3,0,0.7,3.3,4.1,1.6,4.0,2.6,7.0,0.51,0.67
"2021-01-09","Manhattan",1.8,-7.0,88.1,0,0.9,4.4,3.3,1.3,3.3,2.2,5.3,0.48,0.63
"2021-01-10","Manhattan",2.0,-5.1,86.3,0,1.2,4.6,3.7,1.2,3.4,2.0,7.5,0.55,0.76
"2021-01-11","Manhattan",8.8,-4.4,68.9,0,2.8,9.6,4.4,1.5,3.9,2.3,11.4,1.30,2.06
"2021-01-12","Manhattan",12.9,-3.5,59.2,0,2.4,7.6,4.8,1.4,4.2,2.3,11.4,1.85,3.03
"2021-01-13","Manhattan",14.2,1.0,46.8,0,2.7,7.1,5.4,2.4,4.8,3.0,10.1,2.27,3.73
"2021-01-14","Manhattan",13.0,3.3,39.7,0,7.3,17.9,4.9,3.6,4.8,4.1,7.3,3.85,6.30
"2021-01-15","Manhattan",3.7,-1.2,66.5,0,7.9,17.2,3.6,2.8,4.2,3.4,3.0,1.83,2.93
"2021-01-16","Manhattan",6.2,-4.8,58.1,0,2.7,9.5,4.3,1.8,4.0,2.6,8.7,1.43,2.26
"2021-01-17","Manhattan",8.9,-4.4,53.7,0,3.3,10.7,4.3,1.8,4.1,2.6,11.3,1.81,2.93
"2021-01-18","Manhattan",10.4,-4.6,61.4,0,1.5,8.2,5.0,1.6,4.4,2.5,10.7,1.26,1.97
"2021-01-19","Manhattan",8.8,-4.2,62.6,0,2.8,11.0,4.4,1.6,4.1,2.5,11.8,1.55,2.45
"2021-01-20","Manhattan",14.2,-6.7,50.4,0,2.8,13.9,4.3,1.0,3.9,2.0,9.8,2.28,3.71
"2021-01-21","Manhattan",15.0,-5.5,54.6,0,1.8,7.6,5.5,1.1,4.6,2.1,12.0,1.89,3.07
"2021-01-22","Manhattan",1.9,-7.0,58.1,0,2.2,7.1,4.6,1.9,4.2,2.8,11.7,1.07,1.65
"2021-01-23","Manhattan",4.9,-7.7,56.4,0,2.2,7.7,2.9,1.2,3.0,2.1,2.3,1.19,1.83
"2021-01-24","Manhattan",4.0,-1.0,77.4,0.51,2.6,6.6,4.0,2.8,3.8,3.0,4.0,0.81,1.16
"2021-01-25","Manhattan",1.3,-3.2,95.2,14.73,3.0,7.1,3.2,2.5,3.6,3.0,1.8,0.61,0.86
"2021-01-26","Manhattan",-3.0,-7.3,85.2,0,3.7,7.9,2.5,2.1,3.0,2.6,5.5,0.47,0.65
"2021-01-27","Manhattan",-3.6,-7.6,83.0,5.08,2.1,4.9,2.1,1.9,2.6,2.4,8.1,0.52,0.69
"2021-01-28","Manhattan",1.1,-4.8,78.1,0,3.1,8.5,2.1,2.0,2.5,2.4,7.3,0.74,1.06
"2021-01-29","Manhattan",10.5,-6.9,75.3,0,2.1,9.3,4.0,1.5,3.5,2.0,10.3,1.28,1.91
"2021-01-30","Manhattan",11.2,0.3,90.1,1.78,3.5,13.8,5.1,2.7,4.5,3.0,1.5,1.01,1.50
"2021-01-31","Manhattan",0.9,-4.0,79.9,0,5.3,12.8,3.4,2.0,3.9,2.8,3.3,0.80,1.20
"2021-02-01","Manhattan",3.9,-6.5,93.2,0,0.9,3.4,3.8,1.1,3.3,1.8,7.5,0.62,0.76
"2021-02-02","Manhattan",10.4,-4.8,81.1,0,2.1,8.2,4.5,1.0,3.8,1.7,13.3,1.37,1.99
"2021-02-03","Manhattan",17.0,-3.4,60.7,0,2.8,10.9,5.7,1.3,4.8,2.1,13.5,2.45,3.84
"2021-02-04","Manhattan",7.9,-3.2,64.9,0,5.2,15.9,4.5,2.3,4.5,3.2,13.0,1.94,3.02
"2021-02-05","Manhattan",6.6,-6.5,62.4,0,1.9,6.8,5.3,1.4,4.5,2.2,13.9,1.31,1.91
"2021-02-06","Manhattan",-5.3,-16.0,72.5,0,3.3,10.1,2.4,0.9,3.3,1.7,4.6,0.61,0.91
"2021-02-07","Manhattan",-13.3,-16.3,78.0,0,2.7,6.2,0.9,0.2,1.7,0.9,3.0,0.33,0.46
"2021-02-08","Manhattan",-14.3,-15.7,81.9,0,3.3,6.3,0.2,-0.1,0.9,0.6,3.3,0.30,0.41
"2021-02-09","Manhattan",-10.4,-15.6,72.1,0,3.1,6.9,-0.1,-0.2,0.6,0.4,11.4,0.52,0.73
"2021-02-10","Manhattan",-10.3,-13.6,62.8,0,3.8,7.9,-0.1,-0.4,0.5,0.3,4.8,0.67,1.01
"2021-02-11","Manhattan",-9.9,-15.2,58.7,0,4.1,7.9,-0.3,-0.8,0.3,0.1,6.9,0.68,1.03
"2021-02-12","Manhattan",-15.0,-19.1,64.2,0,4.7,8.6,-0.8,-1.8,0.1,-0.4,6.0,0.46,0.70
"2021-02-13","Manhattan",-13.8,-19.0,61.4,0,4.2,9.1,-0.7,-2.2,-0.4,-0.8,13.1,0.56,0.81
"2021-02-14","Manhattan",-15.6,-23.4,66.5,0,5.0,9.1,-1.6,-2.5,-0.7,-1.2,7.3,0.40,0.60
"2021-02-15","Manhattan",-19.1,-24.3,68.0,0,3.4,7.8,-2.1,-2.8,-1.2,-1.6,6.5,0.30,0.43
"2021-02-16","Manhattan",-12.9,-28.0,64.4,1.27,1.2,4.9,-1.7,-3.3,-1.2,-2.0,16.3,0.43,0.55
"2021-02-17","Manhattan",-4.5,-16.3,67.8,1.02,1.2,3.9,-0.5,-2.4,-0.5,-1.5,15.4,0.73,0.93
"2021-02-18","Manhattan",-3.0,-13.1,70.0,0.25,1.3,6.8,-0.5,-2.6,-0.5,-1.6,15.0,0.84,1.08
"2021-02-19","Manhattan",4.0,-11.9,65.3,0,2.7,8.2,-0.5,-2.7,-0.4,-1.6,13.2,1.34,1.95
"2021-02-20","Manhattan",11.6,-5.8,64.7,0,2.3,7.4,-0.2,-1.4,-0.2,-0.8,16.9,2.12,3.11
"2021-02-21","Manhattan",6.2,-1.3,62.9,0,4.3,12.1,-0.1,-0.2,-0.1,-0.3,7.9,1.68,2.53
"2021-02-22","Manhattan",17.3,-3.5,47.2,0,3.5,9.9,0.2,-0.2,-0.1,-0.1,16.5,3.59,5.61
"2021-02-23","Manhattan",22.6,-1.7,44.0,0,2.4,11.0,2.1,-0.2,0,-0.1,17.3,3.84,5.95
"2021-02-24","Manhattan",8.6,-3.2,59.5,0,4.3,11.2,2.3,-0.1,0.6,0,16.0,2.07,3.05
"2021-02-25","Manhattan",7.8,-5.9,69.3,0,0.7,4.0,0.7,-0.1,0.3,0,9.8,1.12,1.42
"2021-02-26","Manhattan",13.4,-6.2,55.4,0,1.7,7.9,2.4,-0.1,1.5,0,16.9,2.16,3.08
"2021-02-27","Manhattan",18.8,-3.2,71.1,0,3.1,12.3,4.5,0.1,3.6,0.4,15.2,3.13,4.72
"2021-02-28","Manhattan",12.7,-2.9,67.6,0,4.1,11.6,5.6,2.5,4.5,2.8,17.9,2.53,3.71
