"A-6"|No |"64605799"|"105586343"
"A-7-6"|Yes|"64605799"|"105586344"
"A-6"|Yes|"64605798"|"105586341"
"A-7-6"|No |"64605798"|"105586342"
"A-6"|No |"64605797"|"105586340"
"A-7-6"|Yes|"64605797"|"105586339"
"A-6"|No |"64605796"|"105586338"
"A-7-6"|Yes|"64605796"|"105586337"
"A-6"|No |"64605795"|"105586336"
"A-7-6"|Yes|"64605795"|"105586335"
"A-6"|No |"64605794"|"105586334"
"A-7-6"|Yes|"64605794"|"105586333"
"A-6"|No |"64605793"|"105586332"
"A-7-6"|Yes|"64605793"|"105586331"
"A-7-6"|Yes|"64605740"|"105586260"
"A-7-6"|Yes|"64605739"|"105586259"
"A-7-6"|Yes|"64605738"|"105586258"
"A-7-6"|Yes|"64605737"|"105586257"
"A-7-5"|No |"64605736"|"105586255"
"A-7-6"|Yes|"64605736"|"105586256"
"A-7-6"|Yes|"64605733"|"105586251"
"A-7-6"|Yes|"64605732"|"105586250"
"A-6"|No |"64605730"|"105586248"
"A-7-6"|Yes|"64605730"|"105586247"
"A-7-6"|Yes|"64605731"|"105586249"
"A-6"|No |"64605735"|"105586254"
"A-7-6"|Yes|"64605735"|"105586253"
"A-7-6"|Yes|"64605734"|"105586252"
"A-7-6"|Yes|"64605729"|"105586246"
"A-7-6"|Yes|"64605728"|"105586245"
"A-7"|No |"64605725"|"105586242"
"A-7-6"|Yes|"64605725"|"105586241"
"A-7"|No |"64605724"|"105586240"
"A-7-6"|Yes|"64605724"|"105586239"
"A-7-6"|Yes|"64605727"|"105586244"
"A-7-6"|Yes|"64605726"|"105586243"
"A-6"|No |"64605723"|"105586238"
"A-7-6"|Yes|"64605723"|"105586237"
"A-7-6"|Yes|"64605722"|"105586236"
"A-7-6"|Yes|"64605721"|"105586235"
"A-7-6"|Yes|"64605720"|"105586234"
"A-6"|Yes|"64605719"|"105586233"
"A-6"|Yes|"64605718"|"105586231"
"A-7-6"|No |"64605718"|"105586232"
"A-6"|Yes|"64605717"|"105586230"
"A-7-6"|No |"64605717"|"105586229"
"A-6"|No |"64605716"|"105586228"
"A-7-6"|Yes|"64605716"|"105586227"
"A-6"|No |"64605715"|"105586225"
"A-7-6"|Yes|"64605715"|"105586226"
"A-6"|Yes|"64605714"|"105586224"
"A-7-6"|No |"64605714"|"105586223"
"A-6"|Yes|"64605696"|"105586198"
"A-6"|Yes|"64605695"|"105586196"
"A-7-6"|No |"64605695"|"105586197"
"A-6"|Yes|"64605694"|"105586195"
"A-7-6"|No |"64605694"|"105586194"
"A-6"|No |"64605693"|"105586193"
"A-7-6"|Yes|"64605693"|"105586192"
"A-6"|No |"64605692"|"105586190"
"A-7-6"|Yes|"64605692"|"105586191"
"A-6"|Yes|"64605691"|"105586189"
"A-7-6"|No |"64605691"|"105586188"
"A-6"|No |"64605690"|"105586187"
"A-7-6"|Yes|"64605690"|"105586186"
"A-7-6"|Yes|"64605689"|"105586185"
"A-7-6"|Yes|"64605688"|"105586184"
"A-7-6"|Yes|"64605686"|"105586182"
"A-7-6"|Yes|"64605685"|"105586181"
"A-7-6"|Yes|"64605687"|"105586183"
"A-6"|No |"64605684"|"105586180"
"A-7-6"|Yes|"64605684"|"105586179"
"A-7-6"|Yes|"64605681"|"105586176"
"A-7-6"|Yes|"64605683"|"105586178"
"A-7-6"|Yes|"64605682"|"105586177"
"A-6"|No |"64605680"|"105586175"
"A-7-6"|Yes|"64605680"|"105586174"
"A-7-6"|Yes|"64605679"|"105586173"
"A-7-6"|Yes|"64605676"|"105586170"
"A-6"|No |"64605675"|"105586168"
"A-7-6"|Yes|"64605675"|"105586169"
"A-6"|No |"64605674"|"105586167"
"A-7-6"|Yes|"64605674"|"105586166"
"A-7-6"|Yes|"64605678"|"105586172"
"A-7-6"|Yes|"64605677"|"105586171"
"A-7-6"|Yes|"64605672"|"105586163"
"A-7-6"|Yes|"64605671"|"105586162"
"A-7-6"|Yes|"64605670"|"105586161"
"A-7-6"|Yes|"64605669"|"105586160"
"A-7-5"|No |"64605673"|"105586165"
"A-7-6"|Yes|"64605673"|"105586164"
"A-7"|No |"64605664"|"105586155"
"A-7-6"|Yes|"64605664"|"105586154"
"A-7-6"|Yes|"64605668"|"105586159"
"A-7-6"|Yes|"64605667"|"105586158"
"A-7-6"|Yes|"64605666"|"105586157"
"A-7-6"|Yes|"64605665"|"105586156"
"A-7"|No |"64605663"|"105586153"
"A-7-6"|Yes|"64605663"|"105586152"
