25|50|76|122|200|200|"Moist"|"229338750"|"143888585"
10|30|50|25|50|76|"Wet"|"229338750"|"143888584"
25|50|76|122|200|200|"Moist"|"229338753"|"143888591"
10|30|50|25|50|76|"Wet"|"229338753"|"143888590"
25|50|76|122|200|200|"Moist"|"229338748"|"143888581"
10|30|50|25|50|76|"Wet"|"229338748"|"143888580"
25|50|76|122|200|200|"Moist"|"229338757"|"143888599"
10|30|50|25|50|76|"Wet"|"229338757"|"143888598"
25|50|76|122|200|200|"Moist"|"229338758"|"143888601"
10|30|50|25|50|76|"Wet"|"229338758"|"143888600"
25|50|76|122|200|200|"Moist"|"229338756"|"143888597"
10|30|50|25|50|76|"Wet"|"229338756"|"143888596"
25|50|76|122|200|200|"Moist"|"229338751"|"143888586"
10|30|50|25|50|76|"Wet"|"229338751"|"143888587"
25|50|76|122|200|200|"Moist"|"229338754"|"143888592"
10|30|50|25|50|76|"Wet"|"229338754"|"143888593"
25|50|76|122|200|200|"Moist"|"229338755"|"143888595"
10|30|50|25|50|76|"Wet"|"229338755"|"143888594"
25|50|76|122|200|200|"Moist"|"229338752"|"143888588"
10|30|50|25|50|76|"Wet"|"229338752"|"143888589"
25|50|76|122|200|200|"Moist"|"229338759"|"143888603"
10|30|50|25|50|76|"Wet"|"229338759"|"143888602"
25|50|76|122|200|200|"Moist"|"229338749"|"143888582"
10|30|50|25|50|76|"Wet"|"229338749"|"143888583"
46|91|122|200|200|200|"Moist"|"229338767"|"143888607"
0|0|0|30|61|91|"Moist"|"229338767"|"143888608"
30|61|91|46|91|122|"Wet"|"229338767"|"143888609"
46|91|122|200|200|200|"Moist"|"229338760"|"143888604"
0|0|0|30|61|91|"Moist"|"229338760"|"143888605"
30|61|91|46|91|122|"Wet"|"229338760"|"143888606"
25|50|76|122|200|200|"Moist"|"229338832"|"143888635"
10|30|50|25|50|76|"Wet"|"229338832"|"143888634"
25|50|76|122|200|200|"Moist"|"229338835"|"143888641"
10|30|50|25|50|76|"Wet"|"229338835"|"143888640"
25|50|76|122|200|200|"Moist"|"229338836"|"143888642"
10|30|50|25|50|76|"Wet"|"229338836"|"143888643"
25|50|76|122|200|200|"Moist"|"229338839"|"143888649"
10|30|50|25|50|76|"Wet"|"229338839"|"143888648"
25|50|76|122|200|200|"Moist"|"229338842"|"143888654"
10|30|50|25|50|76|"Wet"|"229338842"|"143888655"
25|50|76|122|200|200|"Moist"|"229338834"|"143888639"
10|30|50|25|50|76|"Wet"|"229338834"|"143888638"
25|50|76|122|200|200|"Moist"|"229338838"|"143888647"
10|30|50|25|50|76|"Wet"|"229338838"|"143888646"
