|"495982"|"1472339"|"29601192"
40621|"495983"|"1472339"|"29601191"
40621|"495984"|"1472339"|"29601069"
|"495985"|"1472339"|"29601194"
|"495986"|"1472339"|"29601193"
|"495986"|"1472330"|"29601130"
|"495985"|"1472330"|"29601435"
6270|"495984"|"1472330"|"29601436"
6270|"495983"|"1472330"|"29601437"
|"495982"|"1472330"|"29601438"
|"495986"|"1472328"|"29601429"
|"495985"|"1472328"|"29601430"
10759|"495984"|"1472328"|"29601128"
10759|"495983"|"1472328"|"29601427"
|"495982"|"1472328"|"29601428"
|"495986"|"1472303"|"29601313"
|"495985"|"1472303"|"29601314"
164|"495984"|"1472303"|"29601099"
164|"495983"|"1472303"|"29601311"
|"495982"|"1472303"|"29601312"
|"495986"|"1472296"|"29601124"
|"495985"|"1472296"|"29601411"
12285|"495984"|"1472296"|"29601412"
12285|"495983"|"1472296"|"29601413"
|"495982"|"1472296"|"29601414"
|"495986"|"1472294"|"29601401"
|"495985"|"1472294"|"29601402"
1703|"495984"|"1472294"|"29601121"
1703|"495983"|"1472294"|"29601399"
|"495982"|"1472294"|"29601400"
|"495986"|"1472292"|"29601393"
|"495985"|"1472292"|"29601394"
3546|"495984"|"1472292"|"29601119"
3546|"495983"|"1472292"|"29601391"
|"495982"|"1472292"|"29601392"
