"Ustic"|"21905232"|"8825155"
"Ustic"|"21905233"|"8825156"
"Ustic"|"21905234"|"8825157"
"Aquic"|"21905235"|"8825158"
"Udic"|"21905236"|"8825159"
"Ustic"|"21905237"|"8825160"
"Ustic"|"21905242"|"8825164"
"Aquic"|"21905243"|"8825165"
"Ustic"|"21905244"|"8825166"
"Ustic"|"21905245"|"8825167"
"Ustic"|"21905246"|"8825168"
"Udic"|"21905258"|"8825180"
"Udic"|"21905259"|"8825181"
"Aquic"|"21905260"|"8825182"
"Udic"|"21905261"|"8825183"
"Udic"|"21905387"|"8825307"
"Udic"|"21905388"|"8825308"
"Udic"|"21905389"|"8825309"
"Aquic"|"21905390"|"8825310"
"Aquic"|"21905274"|"8825196"
"Udic"|"21905275"|"8825197"
"Udic"|"21905276"|"8825198"
"Udic"|"21905277"|"8825199"
"Udic"|"21905278"|"8825200"
"Aquic"|"21905286"|"8825208"
"Udic"|"21905287"|"8825209"
"Ustic"|"21905288"|"8825210"
"Udic"|"21905289"|"8825211"
"Udic"|"21905200"|"8825126"
"Ustic"|"21905201"|"8825127"
"Ustic"|"21905202"|"8825128"
