"Silt loam"||"130241170"|"132482064"
"Silt loam"||"130241172"|"132482066"
"Silty clay loam"||"130241171"|"132482065"
"Silt loam"||"130241173"|"132483323"
"Silty clay loam"||"130241174"|"132481932"
"Silty clay loam"||"130242345"|"132483303"
"Silt loam"||"130242346"|"132482043"
"Silt loam"||"130242347"|"132482044"
"Silt loam"||"130242340"|"132483431"
"Silty clay loam"||"130242341"|"132483432"
"Loam"||"130242342"|"132481914"
"Silt loam"||"130242343"|"132483302"
"Silty clay loam"||"130242344"|"132481915"
"Silt loam"||"130242348"|"132483305"
"Silty clay loam"||"130242349"|"132483433"
"Silt loam"||"130242353"|"132483306"
"Silty clay loam"||"130242354"|"132481918"
"Silt loam"||"130242355"|"132483307"
"Silt loam"||"130242350"|"132483434"
"Silty clay loam"||"130242351"|"132483435"
"Loam"||"130242352"|"132483436"
"Silty clay loam"||"130242361"|"132482048"
"Silt loam"||"130242362"|"132482049"
"Silty clay loam"||"130242356"|"132482050"
"Silty clay loam"||"130242357"|"132482051"
"Silt loam"||"130242360"|"132481919"
"Silty clay loam"||"130242358"|"132481920"
"Silt loam"||"130242359"|"132483308"
"Silty clay"||"130242363"|"132482045"
"Silty clay"||"130242365"|"132483304"
"Silty clay loam"||"130242364"|"132481916"
"Silty clay loam"||"130242368"|"132481917"
"Silty clay loam"||"130242366"|"132482046"
"Silt loam"||"130242367"|"132482047"
"Silty clay"||"130241265"|"132480846"
"Clay"||"130241268"|"132483018"
"Silty clay"||"130241267"|"132480981"
"Silty clay"||"130241269"|"132480980"
"Clay"||"130241270"|"132483017"
"Silty clay"||"130241266"|"132480847"
"Silt loam"||"130241271"|"132480977"
"Silty clay loam"||"130241272"|"132480564"
"Silt loam"||"130241273"|"132480565"
"Silt loam"||"130241274"|"132480976"
"Silty clay loam"||"130241275"|"132480408"
"Loam"||"130241276"|"132480561"
"Silt loam"||"130241277"|"132480562"
"Silty clay loam"||"130241278"|"132480563"
"Silt loam"||"130241281"|"132480404"
"Silty clay loam"||"130241282"|"132480557"
"Silt loam"||"130241283"|"132480558"
"Silty clay loam"||"130241284"|"132480559"
"Silty clay loam"||"130241285"|"132480560"
"Silty clay loam"||"130241279"|"132480405"
"Silt loam"||"130241280"|"132480973"
"Silty clay loam"||"130241288"|"132480975"
"Silty clay"||"130241289"|"132480407"
"Silty clay loam"||"130241290"|"132480840"
"Silty clay"||"130241291"|"132480841"
"Silty clay loam"||"130241286"|"132480839"
"Silty clay loam"||"130241287"|"132480406"
"Silty clay"||"130241292"|"132480974"
"Silty clay loam"||"130241293"|"132480838"
"Silty clay"||"130241300"|"132480843"
"Clay"||"130241299"|"132480842"
"Silty clay"||"130241301"|"132480409"
"Clay"||"130241302"|"132480978"
"Silty clay loam"||"130241294"|"132480844"
"Silty clay"||"130241295"|"132480845"
"Clay"||"130241296"|"132483016"
"Silty clay"||"130241297"|"132480979"
"Silty clay"||"130241298"|"132483015"
"Silty clay"||"130241362"|"132483993"
"Clay"||"130241365"|"132483035"
"Silty clay"||"130241364"|"132483992"
"Silty clay"||"130241366"|"132484132"
"Clay"||"130241367"|"132483034"
"Silty clay"||"130241363"|"132483158"
"Silt loam"||"130241368"|"132483990"
"Silty clay loam"||"130241369"|"132483033"
"Silt loam"||"130241370"|"132483991"
"Silty clay loam"||"130241371"|"132484130"
"Silty clay loam"||"130241372"|"132484131"
"Silty clay loam"||"130241373"|"132484128"
"Silt loam"||"130241374"|"132484129"
"Clay"||"130241378"|"132483038"
"Silty clay"||"130241379"|"132483996"
"Silty clay"||"130241380"|"132483039"
"Silty clay"||"130241381"|"132484134"
"Silty clay"||"130241382"|"132484135"
"Clay"||"130241383"|"132484136"
"Silty clay loam"||"130241384"|"132483997"
"Silty clay"||"130241385"|"132483162"
"Silty clay"||"130241386"|"132483163"
"Silty clay loam"||"130241387"|"132483040"
"Silty clay"||"130241388"|"132483998"
"Silty clay"||"130241389"|"132483041"
"Silty clay loam"||"130241375"|"132483166"
"Silty clay loam"||"130241376"|"132483164"
"Silty clay loam"||"130241377"|"132483165"
